"Language","Destination","Channel","Tracked URL"
"uk","network","google_business_profile","https://naserwis.pl/uk/naprawa-sieci/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=uk_network"
"uk","network","facebook","https://naserwis.pl/uk/naprawa-sieci/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=uk_network"
"uk","network","telegram","https://naserwis.pl/uk/naprawa-sieci/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=uk_network"
"uk","network","local_partner","https://naserwis.pl/uk/naprawa-sieci/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=uk_network"
"en","general","google_business_profile","https://naserwis.pl/en/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=en_general"
"en","general","facebook","https://naserwis.pl/en/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=en_general"
"en","general","telegram","https://naserwis.pl/en/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=en_general"
"en","general","local_partner","https://naserwis.pl/en/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=en_general"
"en","wifi","google_business_profile","https://naserwis.pl/en/naprawa-wifi/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=en_wifi"
"en","wifi","facebook","https://naserwis.pl/en/naprawa-wifi/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=en_wifi"
"en","wifi","telegram","https://naserwis.pl/en/naprawa-wifi/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=en_wifi"
"en","wifi","local_partner","https://naserwis.pl/en/naprawa-wifi/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=en_wifi"
"en","lan","google_business_profile","https://naserwis.pl/en/montaz-sieci/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=en_lan"
"en","lan","facebook","https://naserwis.pl/en/montaz-sieci/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=en_lan"
"en","lan","telegram","https://naserwis.pl/en/montaz-sieci/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=en_lan"
"en","lan","local_partner","https://naserwis.pl/en/montaz-sieci/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=en_lan"
"en","network","google_business_profile","https://naserwis.pl/en/naprawa-sieci/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=en_network"
"en","network","facebook","https://naserwis.pl/en/naprawa-sieci/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=en_network"
"en","network","telegram","https://naserwis.pl/en/naprawa-sieci/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=en_network"
"en","network","local_partner","https://naserwis.pl/en/naprawa-sieci/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=en_network"
