"Campaign","Ad group","Status","Ad type","Final URL","Path 1","Path 2","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Description 1","Description 2","Description 3","Description 4"
"SRCH-UK-A-CORE","INTENT-WIFI-COVERAGE","Enabled","Responsive search ad","https://naserwis.pl/uk/naprawa-wifi/?intent=weak-wifi","wifi","signal","Слабкий Сигнал Wi-Fi?","Покращимо Покриття Wi-Fi","Приберемо Мертві Зони Wi-Fi","Вимір І Налаштування Wi-Fi","Налаштування Mesh Wi-Fi","Сервіс Мереж У Варшаві","Для Дому Та Офісу","Запишіться Телефоном","Опишіть Проблему Онлайн","Варшава Та Околиці","Перевіримо покриття, перешкоди й розташування точок доступу. Узгодимо візит.","Допоможемо покращити Wi-Fi вдома чи в офісі. Mesh або точка після діагностики.","Опишіть мертві зони у формі. Передзвонимо й запропонуємо наступний крок.","Обслуговування українською, польською, російською та англійською."
"SRCH-UK-A-CORE","INTENT-WIFI-NO-INTERNET","Enabled","Responsive search ad","https://naserwis.pl/uk/naprawa-wifi/?intent=no-internet","wifi","remont","Wi-Fi Без Інтернету?","Інтернет Не Працює?","Ремонт Wi-Fi У Варшаві","Діагностика Роутера Й Мережі","Відновимо Підключення","Сервіс Мереж У Варшаві","Для Дому Та Офісу","Запишіться Телефоном","Опишіть Проблему Онлайн","Варшава Та Околиці","Wi-Fi підключено, але інтернету немає? Перевіримо роутер, кабель, DNS і мережу.","Відокремимо збій провайдера від проблеми вдома чи в офісі.","Опишіть симптоми або зателефонуйте. Узгодимо час і обсяг до візиту.","Допомога з мережею для квартир і невеликих компаній у Варшаві."
"SRCH-UK-A-CORE","INTENT-ROUTER-SETUP","Enabled","Responsive search ad","https://naserwis.pl/uk/naprawa-wifi/?intent=router-setup","router","setup","Налаштування Роутера","Роутер І Mesh У Варшаві","Безпечна Мережа Wi-Fi","Гостьова Мережа І Mesh","Налаштуємо Роутер Wi-Fi","Сервіс Мереж У Варшаві","Для Дому Та Офісу","Запишіться Телефоном","Опишіть Проблему Онлайн","Варшава Та Околиці","Налаштуємо роутер, Mesh, гостьову мережу й безпечні параметри Wi-Fi.","Підберемо розташування обладнання для квартири, будинку чи офісу.","Узгодимо обсяг і час до візиту. Вкажіть модель обладнання у формі.","Налаштування роутерів і точок доступу у Варшаві та околицях."
"SRCH-UK-A-CORE","INTENT-LAN-REPAIR","Enabled","Responsive search ad","https://naserwis.pl/uk/naprawa-sieci/?intent=lan-repair","lan","remont","Ремонт Мережі LAN","Проблема З Кабелем RJ45?","Сервіс Комп'ютерної Мережі","Діагностика Кабельної Мережі","Ремонт Розеток RJ45","Сервіс Мереж У Варшаві","Для Дому Та Офісу","Запишіться Телефоном","Опишіть Проблему Онлайн","Варшава Та Околиці","Перевіримо кабель, розетку RJ45, патч-панель і порт комутатора.","Знайдемо джерело обривів LAN і запропонуємо варіанти ремонту.","Опишіть несправність або зателефонуйте. Узгодимо обсяг до візиту.","Сервіс комп'ютерних мереж для дому й бізнесу у Варшаві."
"SRCH-UK-A-CORE","INTENT-LAN-INSTALL","Enabled","Responsive search ad","https://naserwis.pl/uk/montaz-sieci/?intent=lan-install","lan","montazh","Монтаж Мережі LAN Варшава","Структурована Кабельна Мережа","Монтаж Розеток RJ45","Мережа LAN Для Офісу","Проєкт І Вимірювання Мережі","Сервіс Мереж У Варшаві","Для Дому Та Офісу","Запишіться Телефоном","Опишіть Проблему Онлайн","Варшава Та Околиці","Проєктуємо й монтуємо LAN, розетки RJ45, патч-панелі та шафи RACK.","Узгодимо траси, категорію кабелю, маркування й обсяг вимірювань.","Мережа для дому чи офісу. Оцінка після знайомства з об'єктом і завданням.","Надішліть опис приміщення або зателефонуйте, щоб обговорити наступний крок."
"SRCH-EN-A-CORE","INTENT-WIFI-COVERAGE","Enabled","Responsive search ad","https://naserwis.pl/en/naprawa-wifi/?intent=weak-wifi","wifi","coverage","Weak Wi-Fi Signal?","Improve Wi-Fi Coverage","Remove Wi-Fi Dead Zones","Wi-Fi Survey And Setup","Mesh Wi-Fi Configuration","Network Service In Warsaw","For Homes And Offices","Book By Phone","Describe The Problem Online","Warsaw And Nearby Areas","We check coverage, interference and access point placement. Book a Warsaw visit.","Improve Wi-Fi at home or work. We recommend Mesh or access points after diagnosis.","Describe the dead zones in the form. We will call back with the next step.","Service in English, Polish, Russian and Ukrainian across Warsaw."
"SRCH-EN-A-CORE","INTENT-WIFI-NO-INTERNET","Enabled","Responsive search ad","https://naserwis.pl/en/naprawa-wifi/?intent=no-internet","wifi","repair","Wi-Fi Without Internet?","Internet Not Working?","Wi-Fi Repair In Warsaw","Router And Network Check","Restore Your Connection","Network Service In Warsaw","For Homes And Offices","Book By Phone","Describe The Problem Online","Warsaw And Nearby Areas","Wi-Fi connects but internet fails? We check the router, cable, DNS and local network.","We separate provider outages from faults inside your home or office.","Describe the symptoms or call. We agree the visit and scope in advance.","Network help for Warsaw homes and small businesses."
"SRCH-EN-A-CORE","INTENT-ROUTER-SETUP","Enabled","Responsive search ad","https://naserwis.pl/en/naprawa-wifi/?intent=router-setup","router","setup","Router Setup In Warsaw","Router And Mesh Setup","Secure Wi-Fi Network","Guest Network And Mesh","Configure Your Wi-Fi Router","Network Service In Warsaw","For Homes And Offices","Book By Phone","Describe The Problem Online","Warsaw And Nearby Areas","We configure routers, Mesh, guest networks and secure Wi-Fi settings.","We help place equipment for an apartment, house or office.","We confirm the scope and visit first. Add the device model to your request.","Router and access point setup in Warsaw and nearby areas."
"SRCH-EN-A-CORE","INTENT-LAN-REPAIR","Enabled","Responsive search ad","https://naserwis.pl/en/naprawa-sieci/?intent=lan-repair","lan","repair","LAN Network Repair","Cable Or RJ45 Problem?","Computer Network Service","Network Cabling Diagnosis","RJ45 Socket Repair","Network Service In Warsaw","For Homes And Offices","Book By Phone","Describe The Problem Online","Warsaw And Nearby Areas","We test the cable, RJ45 socket, patch panel and switch port.","We find the cause of LAN dropouts and explain the available repair options.","Describe the fault or call. We agree the work scope before the visit.","Computer network service for Warsaw homes and businesses."
"SRCH-EN-A-CORE","INTENT-LAN-INSTALL","Enabled","Responsive search ad","https://naserwis.pl/en/montaz-sieci/?intent=lan-install","lan","install","LAN Installation Warsaw","Structured Network Cabling","RJ45 Outlet Installation","Office LAN Network","Network Design And Testing","Network Service In Warsaw","For Homes And Offices","Book By Phone","Describe The Problem Online","Warsaw And Nearby Areas","We design and install LAN, RJ45 outlets, patch panels and RACK cabinets.","We agree cable routes, category, labelling and the measurement scope.","Networks for homes and offices. We quote after reviewing the site and scope.","Send the site details or call us to agree the next step."
