"Campaign","Ad group","Status","Final URL","Path 1","Path 2","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Description 1","Description 2","Description 3","Description 4"
"SRCH-RU-B-WARSAW-FAR","IT-GENERAL","Paused","https://naserwis.pl/ru/","it","warszawa","IT Сервис В Варшаве","IT Мастер С Выездом","Помощь Для Дома И Офиса","Сети Wi-Fi И Компьютеры","Поддержка На 4 Языках","Время По Согласованию","Понятные Условия Работы","Свяжитесь С Сервисом","IT-помощь с выездом в Варшаве: сети, Wi-Fi и настройка оборудования.","Обслуживание на русском, украинском, польском и английском языках.","Сначала уточним задачу, затем подтвердим объём и условия визита.","Позвоните, напишите в мессенджер или отправьте контактную форму."
"SRCH-RU-C-OUTSIDE","WIFI-REPAIR","Paused","https://naserwis.pl/ru/naprawa-wifi/","wifi","serwis","Ремонт Wi-Fi В Варшаве","Настройка Роутера","Усилим Покрытие Wi-Fi","Установка Систем Mesh","Мастер С Выездом","Диагностика Сети Wi-Fi","Для Дома И Офиса","Запишитесь По Телефону","Диагностика Wi-Fi, роутера и покрытия. Выезд и время согласуем заранее.","Настроим роутер или Mesh дома и в офисе. Условия подтвердим до визита.","Wi-Fi пропадает или плохо ловит? Проверим сеть и предложим решение.","Помощь на русском, украинском, польском и английском языках."
"SRCH-RU-C-OUTSIDE","LAN-INSTALL","Paused","https://naserwis.pl/ru/montaz-sieci/","lan","montaz","Монтаж Сети LAN Варшава","Монтаж Кабельной Сети","Установка Розеток RJ45","Монтаж Шкафа RACK","Сеть LAN Для Офиса","Расчёт После Консультации","Мастер С Выездом","Закажите Осмотр Объекта","Монтаж сетей LAN, розеток RJ45 и шкафов RACK в Варшаве.","Предварительная консультация по телефону. Выезд согласуем заранее.","Сети для квартир, офисов и помещений. Объём и материалы подтвердим до работ.","Позвоните или отправьте описание объекта — предложим следующий шаг."
"SRCH-RU-C-OUTSIDE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/ru/naprawa-sieci/","lan","naprawa","Ремонт Сети LAN","Ремонт Кабельной Сети","Диагностика Сети Офиса","Ремонт Розеток RJ45","Сервис Видеонаблюдения","Выезд По Варшаве","Условия До Визита","Сообщите Об Аварии","Находим неисправности LAN, кабелей и розеток RJ45. Согласуем объём работ.","Помогаем при сбоях сети и видеонаблюдения дома, в офисе или помещении.","Выезд и время согласуем заранее. Результат определим после диагностики.","Опишите проблему в форме или позвоните — согласуем следующий шаг."
"SRCH-RU-C-OUTSIDE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/ru/","komputer","serwis","Ремонт Компьютеров Варшава","Сервис Ноутбуков","Компьютер Медленно Работает?","Диагностика Компьютера","Мастер С Выездом","Для Дома И Офиса","Условия До Ремонта","Запишитесь По Телефону","Диагностика компьютеров и ноутбуков. Объём и цену подтвердим до ремонта.","Компьютер работает медленно или сломался? Закажите диагностику в Варшаве.","Выезд и время согласуем заранее. Запчасти и допработы — только после согласия.","Позвоните или опишите проблему в форме — согласуем следующий шаг."
"SRCH-RU-C-OUTSIDE","IT-GENERAL","Paused","https://naserwis.pl/ru/","it","warszawa","IT Сервис В Варшаве","IT Мастер С Выездом","Помощь Для Дома И Офиса","Сети Wi-Fi И Компьютеры","Поддержка На 4 Языках","Время По Согласованию","Понятные Условия Работы","Свяжитесь С Сервисом","IT-помощь с выездом в Варшаве: сети, Wi-Fi и настройка оборудования.","Обслуживание на русском, украинском, польском и английском языках.","Сначала уточним задачу, затем подтвердим объём и условия визита.","Позвоните, напишите в мессенджер или отправьте контактную форму."
"SRCH-UK-A-CORE","WIFI-REPAIR","Paused","https://naserwis.pl/uk/naprawa-wifi/","wifi","serwis","Ремонт Wi-Fi У Варшаві","Налаштування Роутера","Покращимо Покриття Wi-Fi","Встановлення Систем Mesh","Майстер З Виїздом","Діагностика Мережі Wi-Fi","Для Дому Та Офісу","Запишіться Телефоном","Діагностика Wi-Fi, роутера й покриття. Виїзд і час погодимо заздалегідь.","Налаштуємо роутер або Mesh удома чи в офісі. Умови підтвердимо до візиту.","Wi-Fi зникає або погано працює? Перевіримо мережу та запропонуємо рішення.","Допомога українською, польською, російською та англійською мовами."
"SRCH-UK-A-CORE","LAN-INSTALL","Paused","https://naserwis.pl/uk/montaz-sieci/","lan","montaz","Монтаж Мережі LAN Варшава","Монтаж Кабельної Мережі","Встановлення Розеток RJ45","Монтаж Шафи RACK","Мережа LAN Для Офісу","Оцінка Після Консультації","Майстер З Виїздом","Замовте Огляд Об'єкта","Монтаж мереж LAN, розеток RJ45 і шаф RACK у Варшаві.","Попередня консультація телефоном. Вартість виїзду погодимо заздалегідь.","Мережі для квартир, офісів і приміщень. Обсяг і матеріали погодимо до робіт.","Зателефонуйте або надішліть опис об'єкта — запропонуємо наступний крок."
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/uk/naprawa-sieci/","lan","naprawa","Ремонт Мережі LAN","Ремонт Кабельної Мережі","Діагностика Мережі Офісу","Ремонт Розеток RJ45","Сервіс Відеоспостереження","Виїзд По Варшаві","Умови До Візиту","Повідомте Про Аварію","Знаходимо несправності LAN, кабелів і розеток RJ45. Погоджуємо обсяг робіт.","Допомагаємо зі збоями мережі та відеоспостереження вдома чи в офісі.","Виїзд і час погодимо заздалегідь. Результат визначимо після діагностики.","Опишіть проблему у формі або зателефонуйте — погодимо наступний крок."
"SRCH-UK-A-CORE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/uk/","komputer","serwis","Ремонт Комп'ютерів Варшава","Сервіс Ноутбуків","Комп'ютер Працює Повільно?","Діагностика Комп'ютера","Майстер З Виїздом","Для Дому Та Офісу","Умови До Ремонту","Запишіться Телефоном","Діагностика комп'ютерів і ноутбуків. Обсяг та ціну підтвердимо до ремонту.","Комп'ютер працює повільно або зламався? Замовте діагностику у Варшаві.","Виїзд і час погодимо. Запчастини й додаткові роботи — тільки після згоди.","Зателефонуйте або опишіть проблему у формі — погодимо наступний крок."
"SRCH-UK-A-CORE","IT-GENERAL","Paused","https://naserwis.pl/uk/","it","warszawa","IT Сервіс У Варшаві","IT Майстер З Виїздом","Допомога Для Дому Й Офісу","Мережі Wi-Fi Та Комп'ютери","Підтримка 4 Мовами","Час За Домовленістю","Зрозумілі Умови Роботи","Зв'яжіться Із Сервісом","IT-допомога з виїздом у Варшаві: мережі, Wi-Fi й налаштування обладнання.","Обслуговування українською, польською, російською та англійською.","Спочатку уточнимо задачу, потім підтвердимо обсяг та умови візиту.","Зателефонуйте, напишіть у месенджер або надішліть контактну форму."
"SRCH-UK-B-WARSAW-FAR","WIFI-REPAIR","Paused","https://naserwis.pl/uk/naprawa-wifi/","wifi","serwis","Ремонт Wi-Fi У Варшаві","Налаштування Роутера","Покращимо Покриття Wi-Fi","Встановлення Систем Mesh","Майстер З Виїздом","Діагностика Мережі Wi-Fi","Для Дому Та Офісу","Запишіться Телефоном","Діагностика Wi-Fi, роутера й покриття. Виїзд і час погодимо заздалегідь.","Налаштуємо роутер або Mesh удома чи в офісі. Умови підтвердимо до візиту.","Wi-Fi зникає або погано працює? Перевіримо мережу та запропонуємо рішення.","Допомога українською, польською, російською та англійською мовами."
"SRCH-UK-B-WARSAW-FAR","LAN-INSTALL","Paused","https://naserwis.pl/uk/montaz-sieci/","lan","montaz","Монтаж Мережі LAN Варшава","Монтаж Кабельної Мережі","Встановлення Розеток RJ45","Монтаж Шафи RACK","Мережа LAN Для Офісу","Оцінка Після Консультації","Майстер З Виїздом","Замовте Огляд Об'єкта","Монтаж мереж LAN, розеток RJ45 і шаф RACK у Варшаві.","Попередня консультація телефоном. Вартість виїзду погодимо заздалегідь.","Мережі для квартир, офісів і приміщень. Обсяг і матеріали погодимо до робіт.","Зателефонуйте або надішліть опис об'єкта — запропонуємо наступний крок."
"SRCH-UK-B-WARSAW-FAR","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/uk/naprawa-sieci/","lan","naprawa","Ремонт Мережі LAN","Ремонт Кабельної Мережі","Діагностика Мережі Офісу","Ремонт Розеток RJ45","Сервіс Відеоспостереження","Виїзд По Варшаві","Умови До Візиту","Повідомте Про Аварію","Знаходимо несправності LAN, кабелів і розеток RJ45. Погоджуємо обсяг робіт.","Допомагаємо зі збоями мережі та відеоспостереження вдома чи в офісі.","Виїзд і час погодимо заздалегідь. Результат визначимо після діагностики.","Опишіть проблему у формі або зателефонуйте — погодимо наступний крок."
"SRCH-UK-B-WARSAW-FAR","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/uk/","komputer","serwis","Ремонт Комп'ютерів Варшава","Сервіс Ноутбуків","Комп'ютер Працює Повільно?","Діагностика Комп'ютера","Майстер З Виїздом","Для Дому Та Офісу","Умови До Ремонту","Запишіться Телефоном","Діагностика комп'ютерів і ноутбуків. Обсяг та ціну підтвердимо до ремонту.","Комп'ютер працює повільно або зламався? Замовте діагностику у Варшаві.","Виїзд і час погодимо. Запчастини й додаткові роботи — тільки після згоди.","Зателефонуйте або опишіть проблему у формі — погодимо наступний крок."
"SRCH-UK-B-WARSAW-FAR","IT-GENERAL","Paused","https://naserwis.pl/uk/","it","warszawa","IT Сервіс У Варшаві","IT Майстер З Виїздом","Допомога Для Дому Й Офісу","Мережі Wi-Fi Та Комп'ютери","Підтримка 4 Мовами","Час За Домовленістю","Зрозумілі Умови Роботи","Зв'яжіться Із Сервісом","IT-допомога з виїздом у Варшаві: мережі, Wi-Fi й налаштування обладнання.","Обслуговування українською, польською, російською та англійською.","Спочатку уточнимо задачу, потім підтвердимо обсяг та умови візиту.","Зателефонуйте, напишіть у месенджер або надішліть контактну форму."
"SRCH-UK-C-OUTSIDE","WIFI-REPAIR","Paused","https://naserwis.pl/uk/naprawa-wifi/","wifi","serwis","Ремонт Wi-Fi У Варшаві","Налаштування Роутера","Покращимо Покриття Wi-Fi","Встановлення Систем Mesh","Майстер З Виїздом","Діагностика Мережі Wi-Fi","Для Дому Та Офісу","Запишіться Телефоном","Діагностика Wi-Fi, роутера й покриття. Виїзд і час погодимо заздалегідь.","Налаштуємо роутер або Mesh удома чи в офісі. Умови підтвердимо до візиту.","Wi-Fi зникає або погано працює? Перевіримо мережу та запропонуємо рішення.","Допомога українською, польською, російською та англійською мовами."
"SRCH-UK-C-OUTSIDE","LAN-INSTALL","Paused","https://naserwis.pl/uk/montaz-sieci/","lan","montaz","Монтаж Мережі LAN Варшава","Монтаж Кабельної Мережі","Встановлення Розеток RJ45","Монтаж Шафи RACK","Мережа LAN Для Офісу","Оцінка Після Консультації","Майстер З Виїздом","Замовте Огляд Об'єкта","Монтаж мереж LAN, розеток RJ45 і шаф RACK у Варшаві.","Попередня консультація телефоном. Вартість виїзду погодимо заздалегідь.","Мережі для квартир, офісів і приміщень. Обсяг і матеріали погодимо до робіт.","Зателефонуйте або надішліть опис об'єкта — запропонуємо наступний крок."
"SRCH-UK-C-OUTSIDE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/uk/naprawa-sieci/","lan","naprawa","Ремонт Мережі LAN","Ремонт Кабельної Мережі","Діагностика Мережі Офісу","Ремонт Розеток RJ45","Сервіс Відеоспостереження","Виїзд По Варшаві","Умови До Візиту","Повідомте Про Аварію","Знаходимо несправності LAN, кабелів і розеток RJ45. Погоджуємо обсяг робіт.","Допомагаємо зі збоями мережі та відеоспостереження вдома чи в офісі.","Виїзд і час погодимо заздалегідь. Результат визначимо після діагностики.","Опишіть проблему у формі або зателефонуйте — погодимо наступний крок."
"SRCH-UK-C-OUTSIDE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/uk/","komputer","serwis","Ремонт Комп'ютерів Варшава","Сервіс Ноутбуків","Комп'ютер Працює Повільно?","Діагностика Комп'ютера","Майстер З Виїздом","Для Дому Та Офісу","Умови До Ремонту","Запишіться Телефоном","Діагностика комп'ютерів і ноутбуків. Обсяг та ціну підтвердимо до ремонту.","Комп'ютер працює повільно або зламався? Замовте діагностику у Варшаві.","Виїзд і час погодимо. Запчастини й додаткові роботи — тільки після згоди.","Зателефонуйте або опишіть проблему у формі — погодимо наступний крок."
