"Campaign","Location","Google criterion ID","Target type","Presence setting","Initial bid adjustment","Action required"
"SRCH-RU-C-OUTSIDE","Konstancin-Jeziorna","1011401","city","People in or regularly in this location","-40%",""
"SRCH-RU-C-OUTSIDE","Grodzisk Mazowiecki","1031036","city","People in or regularly in this location","-50%",""
"SRCH-UK-A-CORE","Ursynow","9061062","district","People in or regularly in this location","0%",""
"SRCH-UK-A-CORE","Natolin","9214859","neighbourhood","People in or regularly in this location","0%",""
"SRCH-UK-A-CORE","Wilanow","9061075","district","People in or regularly in this location","0%",""
"SRCH-UK-A-CORE","Mokotow","9061060","district","People in or regularly in this location","0%",""
"SRCH-UK-A-CORE","Sadyba","","radius/postal-codes","People in or regularly in this location","0%","Resolve as 3 km radius or confirmed postal codes in Google Ads"
"SRCH-UK-B-WARSAW-FAR","Srodmiescie","9061066","district","People in or regularly in this location","-20%",""
"SRCH-UK-B-WARSAW-FAR","Ochota","9061069","district","People in or regularly in this location","-20%",""
"SRCH-UK-B-WARSAW-FAR","Wola","9061063","district","People in or regularly in this location","-20%",""
"SRCH-UK-B-WARSAW-FAR","Ursus","9061072","district","People in or regularly in this location","-20%",""
"SRCH-UK-B-WARSAW-FAR","Praga-Polnoc","9061071","district","People in or regularly in this location","-30%",""
"SRCH-UK-B-WARSAW-FAR","Praga-Poludnie","9061061","district","People in or regularly in this location","-30%",""
"SRCH-UK-B-WARSAW-FAR","Wawer","9061070","district","People in or regularly in this location","-30%",""
"SRCH-UK-C-OUTSIDE","Piaseczno","1011410","city","People in or regularly in this location","-40%",""
"SRCH-UK-C-OUTSIDE","Konstancin-Jeziorna","1011401","city","People in or regularly in this location","-40%",""
"SRCH-UK-C-OUTSIDE","Grodzisk Mazowiecki","1031036","city","People in or regularly in this location","-50%",""
"SRCH-EN-A-CORE","Ursynow","9061062","district","People in or regularly in this location","0%",""
"SRCH-EN-A-CORE","Natolin","9214859","neighbourhood","People in or regularly in this location","0%",""
"SRCH-EN-A-CORE","Wilanow","9061075","district","People in or regularly in this location","0%",""
"SRCH-EN-A-CORE","Mokotow","9061060","district","People in or regularly in this location","0%",""
"SRCH-EN-A-CORE","Sadyba","","radius/postal-codes","People in or regularly in this location","0%","Resolve as 3 km radius or confirmed postal codes in Google Ads"
"SRCH-EN-B-WARSAW-FAR","Srodmiescie","9061066","district","People in or regularly in this location","-20%",""
"SRCH-EN-B-WARSAW-FAR","Ochota","9061069","district","People in or regularly in this location","-20%",""
"SRCH-EN-B-WARSAW-FAR","Wola","9061063","district","People in or regularly in this location","-20%",""
"SRCH-EN-B-WARSAW-FAR","Ursus","9061072","district","People in or regularly in this location","-20%",""
"SRCH-EN-B-WARSAW-FAR","Praga-Polnoc","9061071","district","People in or regularly in this location","-30%",""
"SRCH-EN-B-WARSAW-FAR","Praga-Poludnie","9061061","district","People in or regularly in this location","-30%",""
"SRCH-EN-B-WARSAW-FAR","Wawer","9061070","district","People in or regularly in this location","-30%",""
"SRCH-EN-C-OUTSIDE","Piaseczno","1011410","city","People in or regularly in this location","-40%",""
"SRCH-EN-C-OUTSIDE","Konstancin-Jeziorna","1011401","city","People in or regularly in this location","-40%",""
"SRCH-EN-C-OUTSIDE","Grodzisk Mazowiecki","1031036","city","People in or regularly in this location","-50%",""
